tournament_id,tournament_name,tournament_date,tournament_format,tournament_source,tournament_players,tournament_rounds,tournament_url,player_name,archetype,wins,losses,draws,final_position,matches_played,winrate
mtgdecks_0,standard League 1,2025-07-12T00:48:20.352,standard,mtgdecks,64,6,https://mtgdecks.net/tournament/0,Player_mtgdecks_0_0_0,Control,4,1,0,,5,0.8
mtgdecks_0,standard League 1,2025-07-12T00:48:20.352,standard,mtgdecks,64,6,https://mtgdecks.net/tournament/0,Player_mtgdecks_0_0_1,Control,5,1,0,,6,0.8333333333
mtgdecks_0,standard League 1,2025-07-12T00:48:20.352,standard,mtgdecks,64,6,https://mtgdecks.net/tournament/0,Player_mtgdecks_0_0_9,Control,5,1,0,,6,0.8333333333
mtgdecks_0,standard League 1,2025-07-12T00:48:20.352,standard,mtgdecks,64,6,https://mtgdecks.net/tournament/0,Player_mtgdecks_0_0_13,Control,6,1,0,,7,0.8571428571
mtgdecks_0,standard League 1,2025-07-12T00:48:20.352,standard,mtgdecks,64,6,https://mtgdecks.net/tournament/0,Player_mtgdecks_0_0_17,Control,6,1,0,,7,0.8571428571
mtgdecks_0,standard League 1,2025-07-12T00:48:20.352,standard,mtgdecks,64,6,https://mtgdecks.net/tournament/0,Player_mtgdecks_0_0_18,Control,4,0,0,,4,1.0
mtgdecks_0,standard League 1,2025-07-12T00:48:20.352,standard,mtgdecks,64,6,https://mtgdecks.net/tournament/0,Player_mtgdecks_0_0_20,Control,4,0,0,,4,1.0
mtgdecks_0,standard League 1,2025-07-12T00:48:20.352,standard,mtgdecks,64,6,https://mtgdecks.net/tournament/0,Player_mtgdecks_0_0_23,Control,4,0,0,,4,1.0
mtgdecks_0,standard League 1,2025-07-12T00:48:20.352,standard,mtgdecks,64,6,https://mtgdecks.net/tournament/0,Player_mtgdecks_0_0_25,Control,4,1,0,,5,0.8
mtgdecks_0,standard League 1,2025-07-12T00:48:20.352,standard,mtgdecks,64,6,https://mtgdecks.net/tournament/0,Player_mtgdecks_0_0_29,Control,4,1,0,,5,0.8
mtgdecks_0,standard League 1,2025-07-12T00:48:20.352,standard,mtgdecks,64,6,https://mtgdecks.net/tournament/0,Player_mtgdecks_0_0_30,Control,6,1,0,,7,0.8571428571
mtgdecks_0,standard League 1,2025-07-12T00:48:20.352,standard,mtgdecks,64,6,https://mtgdecks.net/tournament/0,Player_mtgdecks_0_1_5,Midrange,5,1,0,,6,0.8333333333
mtgdecks_0,standard League 1,2025-07-12T00:48:20.352,standard,mtgdecks,64,6,https://mtgdecks.net/tournament/0,Player_mtgdecks_0_2_2,Aggro,5,1,0,,6,0.8333333333
mtgdecks_0,standard League 1,2025-07-12T00:48:20.352,standard,mtgdecks,64,6,https://mtgdecks.net/tournament/0,Player_mtgdecks_0_2_5,Aggro,6,1,0,,7,0.8571428571
mtgdecks_0,standard League 1,2025-07-12T00:48:20.352,standard,mtgdecks,64,6,https://mtgdecks.net/tournament/0,Player_mtgdecks_0_2_8,Aggro,5,0,0,,5,1.0
mtgdecks_1,standard League 2,2025-07-07T00:48:21.360,standard,mtgdecks,32,7,https://mtgdecks.net/tournament/1,Player_mtgdecks_1_0_1,Midrange,6,1,0,,7,0.8571428571
mtgdecks_1,standard League 2,2025-07-07T00:48:21.360,standard,mtgdecks,32,7,https://mtgdecks.net/tournament/1,Player_mtgdecks_1_0_2,Midrange,5,1,0,,6,0.8333333333
mtgdecks_1,standard League 2,2025-07-07T00:48:21.360,standard,mtgdecks,32,7,https://mtgdecks.net/tournament/1,Player_mtgdecks_1_0_7,Midrange,7,0,0,,7,1.0
mtgdecks_2,standard League 3,2025-07-02T00:48:22.362,standard,mtgdecks,32,5,https://mtgdecks.net/tournament/2,Player_mtgdecks_2_0_9,Control,4,1,0,,5,0.8
mtgdecks_2,standard League 3,2025-07-02T00:48:22.362,standard,mtgdecks,32,5,https://mtgdecks.net/tournament/2,Player_mtgdecks_2_1_1,Midrange,4,1,0,,5,0.8
mtgdecks_2,standard League 3,2025-07-02T00:48:22.362,standard,mtgdecks,32,5,https://mtgdecks.net/tournament/2,Player_mtgdecks_2_1_3,Midrange,5,0,0,,5,1.0
mtgdecks_2,standard League 3,2025-07-02T00:48:22.362,standard,mtgdecks,32,5,https://mtgdecks.net/tournament/2,Player_mtgdecks_2_1_4,Midrange,5,0,0,,5,1.0
mtgdecks_2,standard League 3,2025-07-02T00:48:22.362,standard,mtgdecks,32,5,https://mtgdecks.net/tournament/2,Player_mtgdecks_2_1_8,Midrange,4,0,0,,4,1.0
